"state_name","year","quarter","total_registered_users","total_app_opens"
"rajasthan",2024,3,"106749513","16005513099"
"madhya-pradesh",2024,3,"95292252","15941318562"
"uttar-pradesh",2024,4,"211422339","15242702823"
"maharashtra",2024,4,"215423415","15127261980"
"rajasthan",2024,2,"104320857","14886800754"
"madhya-pradesh",2024,2,"87973398","14633773299"
"rajasthan",2024,1,"100516542","14184355671"
"maharashtra",2024,3,"208923483","13713961416"
"madhya-pradesh",2024,1,"84715662","13186149561"
"rajasthan",2023,3,"92991546","13077920589"
"rajasthan",2023,2,"89236827","12099000864"
"rajasthan",2023,1,"85569093","11133997623"
"maharashtra",2023,4,"196266360","11082009465"
"uttar-pradesh",2023,4,"161399439","10862441832"
"madhya-pradesh",2023,3,"78327099","10485492504"
"uttar-pradesh",2024,2,"174597447","10220199444"
"maharashtra",2024,2,"211791669","10219920831"
"maharashtra",2023,2,"182300550","10091577990"
"rajasthan",2022,3,"78128844","9899363598"
"maharashtra",2024,1,"204050628","9680894229"
"maharashtra",2023,3,"189452991","9458954481"
"maharashtra",2023,1,"175412352","9432458775"
"uttar-pradesh",2024,1,"168086295","9339137652"
"karnataka",2024,4,"137752959","9274797018"
"karnataka",2022,4,"108245094","9034935033"
"maharashtra",2022,4,"167862084","8946608088"
"madhya-pradesh",2023,2,"75128790","8836886166"
"gujarat",2024,3,"87246324","8619250620"
"rajasthan",2022,2,"74148543","8314304841"
"rajasthan",2024,4,"110485125","8294232711"
"karnataka",2024,3,"133645173","8195178174"
"maharashtra",2022,3,"160297806","7915991136"
"madhya-pradesh",2023,1,"72008454","7764769221"
"rajasthan",2022,1,"70196571","7711819407"
"karnataka",2023,4,"126094188","7696618698"
"bihar",2024,4,"100035855","7583529774"
"karnataka",2023,2,"117366942","7564730295"
"uttar-pradesh",2024,3,"203766000","7537086552"
"karnataka",2023,1,"113044278","7494075864"
"maharashtra",2022,2,"152408358","7478838057"
"madhya-pradesh",2024,4,"98629980","7476311970"
"gujarat",2024,2,"85319655","7256992329"
"gujarat",2024,4,"89584923","7219272429"
"gujarat",2024,1,"82145916","7175400564"
"karnataka",2023,3,"121903170","6853167852"
"tamil-nadu",2024,4,"101899830","6689643516"
"karnataka",2024,2,"135871818","6585031254"
"karnataka",2024,1,"131004423","6558046506"
"maharashtra",2022,1,"144682890","6473308542"
"karnataka",2022,3,"103481982","6444049302"
"uttar-pradesh",2023,3,"155612796","6429578160"
"karnataka",2022,2,"98494341","6196079511"
"maharashtra",2021,4,"136447518","6095217744"
"madhya-pradesh",2022,3,"65652660","6079115247"
"telangana",2024,4,"95180568","6043777674"
"west-bengal",2024,4,"104250543","5984822289"
"gujarat",2023,4,"78937965","5850243195"
"karnataka",2021,4,"88378938","5824675539"
"rajasthan",2023,4,"96472044","5716936800"
"madhya-pradesh",2022,2,"62299251","5708598396"
"andhra-pradesh",2024,4,"89953293","5599079937"
"tamil-nadu",2023,4,"88358403","5493857376"
"bihar",2023,4,"77087568","5468212209"
"madhya-pradesh",2023,4,"81234216","5341646280"
"uttar-pradesh",2023,2,"149489499","5194802841"
"telangana",2022,4,"76969143","5193685539"
"assam",2024,2,"20303622","5184821604"
"karnataka",2022,1,"93601047","5181162135"
"uttar-pradesh",2022,4,"136945950","5046011373"
"gujarat",2023,3,"76150287","5037105429"
"madhya-pradesh",2022,1,"58968441","5034799425"
"andhra-pradesh",2022,4,"83334048","5020124406"
"andhra-pradesh",2024,3,"87435909","4981279308"
"odisha",2024,3,"53899944","4788437439"
"jharkhand",2024,2,"31505946","4749900411"
"maharashtra",2021,3,"127743651","4696112556"
"rajasthan",2022,4,"81767781","4612274772"
"telangana",2023,4,"89707908","4561286250"
"chhattisgarh",2024,2,"26114271","4449673146"
"chhattisgarh",2024,3,"30871506","4407660702"
"west-bengal",2023,4,"90193638","4402328877"
"andhra-pradesh",2021,4,"67467087","4343152803"
"andhra-pradesh",2023,1,"87197589","4326115260"
"odisha",2024,2,"54235866","4318114611"
"rajasthan",2021,3,"61498395","4288661475"
"andhra-pradesh",2023,2,"90720183","4283857302"
"telangana",2021,4,"62752947","4222798176"
"uttar-pradesh",2023,1,"143418147","4204031748"
"telangana",2024,3,"92328726","4191909738"
"jharkhand",2024,1,"30354447","4167260838"
"madhya-pradesh",2022,4,"68741772","4164848454"
"haryana",2024,4,"57153342","4145487423"
"assam",2024,1,"19530468","4143027996"
"andhra-pradesh",2022,2,"75471792","4136210568"
"karnataka",2021,3,"82842663","4100343261"
"andhra-pradesh",2022,3,"79488990","4071017109"
"telangana",2023,2,"83443899","4019903376"
"jharkhand",2024,3,"35313795","3990364320"
"andhra-pradesh",2023,4,"97976094","3930008877"
"telangana",2023,1,"80412777","3916969341"
"chhattisgarh",2024,1,"25182420","3872854296"
"telangana",2022,2,"69943089","3828778110"
"andhra-pradesh",2021,3,"63179694","3775610637"
"telangana",2022,3,"73518333","3766792932"
"andhra-pradesh",2022,1,"71573853","3764357919"
"odisha",2024,1,"52179498","3742053327"
"tamil-nadu",2024,3,"98895627","3712521615"
"tamil-nadu",2022,4,"75408336","3687562869"
"maharashtra",2021,2,"118994091","3624250776"
"rajasthan",2021,4,"65931606","3555372093"
"uttar-pradesh",2021,4,"109852965","3527771382"
"telangana",2022,1,"66451836","3506593572"
"andhra-pradesh",2023,3,"94481691","3472321491"
"tamil-nadu",2023,3,"85216308","3353159574"
"telangana",2021,3,"58845834","3322587591"
"maharashtra",2021,1,"111232611","3305929452"
"tamil-nadu",2024,1,"91916250","3267196686"
"karnataka",2021,1,"72287496","3254752155"
"andhra-pradesh",2024,1,"102026127","3240555309"
"rajasthan",2021,2,"56942955","3216273696"
"tamil-nadu",2024,2,"95456640","3215496255"
"andhra-pradesh",2024,2,"105911157","3183843246"
"gujarat",2023,2,"73190304","3172878045"
"karnataka",2021,2,"77253069","3153269142"
"andhra-pradesh",2021,2,"58862715","3134116308"
"uttar-pradesh",2022,3,"130613760","3107107191"
"odisha",2024,4,"55833588","3103170618"
"bihar",2024,2,"83359728","3102439521"
"jharkhand",2024,4,"36637263","3055994289"
"telangana",2024,2,"96696513","3023609448"
"odisha",2023,3,"48193377","3006690153"
"telangana",2023,3,"86690004","2981228415"
"tamil-nadu",2023,2,"81952797","2974835961"
"tamil-nadu",2023,1,"78811989","2967184950"
"assam",2023,3,"17995758","2888549739"
"andhra-pradesh",2021,1,"55091199","2873128341"
"madhya-pradesh",2021,4,"55368729","2869892343"
"delhi",2024,4,"56701464","2857669476"
"maharashtra",2020,4,"103297893","2856020310"
"chhattisgarh",2023,3,"23339931","2854760694"
"uttar-pradesh",2022,2,"123741867","2842441485"
"bihar",2024,1,"80295603","2835685047"
"karnataka",2020,4,"67200546","2806532070"
"telangana",2024,1,"93247341","2799957858"
"madhya-pradesh",2021,3,"51630699","2788718772"
"odisha",2023,1,"44361249","2788462899"
"telangana",2021,1,"51447207","2760120126"
"gujarat",2023,1,"70308690","2755406832"
"odisha",2023,2,"46260183","2755349793"
"telangana",2021,2,"54920640","2715953076"
"haryana",2023,4,"52669926","2713446963"
"kerala",2024,4,"41068161","2621213298"
"chhattisgarh",2024,4,"31953405","2607717933"
"andhra-pradesh",2020,4,"51229695","2607235614"
"tamil-nadu",2022,3,"72059892","2600215029"
"assam",2024,3,"30296334","2565648318"
"uttar-pradesh",2022,1,"116999076","2510778075"
"bihar",2022,4,"65214351","2504481606"
"jharkhand",2023,3,"28082190","2419551708"
"uttar-pradesh",2021,3,"102455646","2411670348"
"gujarat",2022,4,"67237059","2372953785"
"assam",2024,4,"31442781","2325508377"
"punjab",2024,4,"33925359","2324092686"
"telangana",2020,4,"47783391","2293842705"
"chhattisgarh",2023,2,"22408524","2247335115"
"kerala",2023,4,"36254922","2241910959"
"tamil-nadu",2022,2,"68489160","2220796218"
"delhi",2023,4,"55090878","2216419872"
"madhya-pradesh",2021,2,"47822805","2183224947"
"odisha",2022,4,"42381717","2178297762"
"odisha",2022,3,"40479846","2176427772"
"punjab",2024,3,"32936346","2157257988"
"west-bengal",2024,3,"100838484","2129592969"
"west-bengal",2024,2,"97621191","2112828822"
"haryana",2024,3,"55581864","2104769439"
"odisha",2023,4,"50042976","2103915243"
"gujarat",2022,3,"64184163","2097365712"
"andhra-pradesh",2020,3,"47077215","2088901146"
"karnataka",2020,3,"61462650","2081049636"
"bihar",2024,3,"95697945","2078625261"
"tamil-nadu",2021,4,"61299426","2057584320"
"chhattisgarh",2023,1,"21478980","2036395293"
"west-bengal",2022,4,"76609143","2034198981"
"uttar-pradesh",2021,2,"94955682","2020796592"
"odisha",2022,2,"38405970","2010933279"
"maharashtra",2020,3,"94228539","2004591303"
"jharkhand",2023,4,"29122008","1975659144"
"jharkhand",2023,2,"26942127","1971359826"
"assam",2023,2,"17249046","1971209019"
"bihar",2021,4,"52007943","1942202514"
"uttar-pradesh",2021,1,"88446225","1919154972"
"tamil-nadu",2022,1,"65001060","1915470825"
"west-bengal",2024,1,"93920529","1900579521"
"rajasthan",2021,1,"52983264","1897605177"
"karnataka",2020,1,"51050940","1879464108"
"bihar",2023,3,"74329530","1871770173"
"maharashtra",2020,1,"78505170","1845439704"
"odisha",2022,1,"36374337","1841566395"
"gujarat",2022,2,"60964788","1829830308"
"punjab",2023,4,"29694006","1817419743"
"assam",2023,1,"16498950","1770528963"
"jharkhand",2023,1,"25827321","1757426601"
"karnataka",2019,4,"46156248","1709024610"
"odisha",2021,4,"34197705","1702054338"
"assam",2023,4,"18704340","1674125865"
"haryana",2022,4,"44984832","1670696634"
"bihar",2023,2,"71345913","1668214158"
"uttar-pradesh",2020,4,"81747402","1656662394"
"chhattisgarh",2023,4,"24171048","1635372699"
"maharashtra",2019,4,"71235891","1630962336"
"chhattisgarh",2022,3,"19686711","1629619461"
"telangana",2020,3,"43772646","1583345775"
"gujarat",2022,1,"57795942","1565330817"
"west-bengal",2021,4,"61933581","1537007517"
"rajasthan",2020,4,"48988482","1533045327"
"maharashtra",2020,2,"86295258","1519064436"
"punjab",2024,2,"32033109","1507316985"
"chhattisgarh",2022,2,"18715047","1504233360"
"haryana",2024,2,"56796252","1485760452"
"andhra-pradesh",2020,2,"42959025","1483025094"
"odisha",2021,3,"31957470","1478639112"
"karnataka",2020,2,"55966098","1471530225"
"gujarat",2021,4,"54417603","1463538627"
"andhra-pradesh",2020,1,"39066180","1459541319"
"madhya-pradesh",2021,1,"44518281","1447500828"
"west-bengal",2023,3,"86899242","1420351119"
"tamil-nadu",2021,3,"57382320","1379480202"
"bihar",2023,1,"68388033","1367659680"
"telangana",2020,1,"36920580","1364171448"
"uttar-pradesh",2020,3,"74514348","1352353524"
"chhattisgarh",2022,1,"17750883","1345510314"
"punjab",2024,1,"30860892","1345436919"
"karnataka",2019,3,"40905225","1337050980"
"haryana",2021,4,"36349317","1326530961"
"maharashtra",2019,3,"63939243","1319995239"
"rajasthan",2020,3,"44908236","1310048610"
"jammu-&-kashmir",2024,2,"6839709","1275329925"
"bihar",2021,3,"48482313","1265404137"
"uttarakhand",2024,3,"16271310","1244441226"
"jharkhand",2022,3,"23509287","1242686580"
"andhra-pradesh",2019,4,"35273649","1233604554"
"assam",2022,3,"15050730","1232282121"
"madhya-pradesh",2020,4,"41213841","1216714338"
"delhi",2022,4,"47292447","1205594247"
"telangana",2019,4,"33662073","1197717132"
"jharkhand",2022,4,"24652914","1188296187"
"uttar-pradesh",2020,2,"67495557","1151110602"
"gujarat",2021,3,"50840283","1139961453"
"jharkhand",2022,2,"22278522","1137160455"
"jammu-&-kashmir",2024,3,"12485520","1129710036"
"uttar-pradesh",2020,1,"60408768","1122846249"
"bihar",2021,2,"44916402","1113595980"
"odisha",2021,2,"29673087","1102729482"
"telangana",2020,2,"40134573","1101391515"
"haryana",2024,1,"54744789","1070558925"
"bihar",2021,1,"41838864","1067377824"
"chhattisgarh",2022,4,"20540466","1064930442"
"uttarakhand",2024,4,"16727766","1062624201"
"west-bengal",2023,2,"83482986","1052588004"
"tamil-nadu",2021,1,"49897824","1046405142"
"west-bengal",2021,3,"57969834","1045765998"
"bihar",2022,2,"58709682","1045765314"
"kerala",2022,4,"31146306","1040945547"
"delhi",2021,4,"38355381","1037008059"
"tamil-nadu",2021,2,"53413626","1031905422"
"jammu-&-kashmir",2024,1,"6587409","1027737963"
"rajasthan",2020,1,"36426159","1025447268"
"assam",2022,2,"14267361","1019787267"
"punjab",2023,3,"28667991","1011322968"
"bihar",2022,3,"62083128","1010422155"
"jharkhand",2022,1,"21075825","994067943"
"rajasthan",2020,2,"40689603","989823543"
"haryana",2023,3,"50869467","982491222"
"madhya-pradesh",2020,3,"37692672","974552982"
"uttar-pradesh",2019,4,"53848626","972205875"
"west-bengal",2023,1,"80198685","963308043"
"telangana",2019,3,"30271671","954373533"
"bihar",2020,4,"38669499","951169800"
"bihar",2022,1,"55453974","950974797"
"west-bengal",2021,1,"50426397","950498022"
"andhra-pradesh",2019,3,"31376079","932860626"
"uttarakhand",2024,2,"16185876","929798520"
"odisha",2021,1,"27699027","903946422"
"haryana",2023,2,"48942708","894113118"
"haryana",2021,3,"33976008","890652315"
"meghalaya",2024,3,"1645506","877418832"
"west-bengal",2020,4,"46986279","875165757"
"himachal-pradesh",2024,2,"9518298","874220793"
"rajasthan",2019,4,"32775093","866714079"
"tamil-nadu",2020,4,"46072758","864700656"
"uttarakhand",2023,4,"15005478","862410891"
"jharkhand",2021,4,"19788588","854880027"
"jammu-&-kashmir",2023,3,"6094341","849614487"
"gujarat",2021,2,"47207943","847297629"
"assam",2022,1,"13477767","844927359"
"delhi",2021,1,"31401630","843604800"
"himachal-pradesh",2024,3,"8859204","831096060"
"chhattisgarh",2021,3,"15618252","829458228"
"west-bengal",2021,2,"53939937","826024398"
"odisha",2020,4,"25796253","810255879"
"uttar-pradesh",2019,3,"48133821","804427818"
"haryana",2021,1,"29483715","800060049"
"bihar",2020,3,"35289639","799957932"
"haryana",2022,3,"42911799","796425483"
"haryana",2023,1,"47064483","794838798"
"uttarakhand",2024,1,"15606753","794438247"
"gujarat",2021,1,"44010378","794198622"
"madhya-pradesh",2020,1,"30454113","787357440"
"west-bengal",2022,3,"73116144","769337244"
"madhya-pradesh",2020,2,"34123269","761310132"
"chhattisgarh",2021,4,"16696443","755257749"
"west-bengal",2022,2,"69373164","750829107"
"assam",2022,4,"15743328","746343471"
"jammu-&-kashmir",2024,4,"12865749","739708236"
"west-bengal",2020,3,"43345098","739664493"
"west-bengal",2019,4,"32655174","732979839"
"delhi",2020,4,"29243904","730301256"
"uttarakhand",2023,2,"13935966","722412879"
"rajasthan",2019,3,"29391912","715016997"
"madhya-pradesh",2019,4,"27495723","713534928"
"west-bengal",2022,1,"65759361","708393195"
"haryana",2020,4,"27389619","708303921"
"haryana",2022,2,"40728195","708273927"
"haryana",2021,2,"31591782","702157518"
"himachal-pradesh",2024,1,"9150423","694904391"
"gujarat",2020,4,"40815609","691492059"
"jharkhand",2021,3,"18455529","691427994"
"delhi",2021,3,"35940183","671533128"
"punjab",2023,2,"27591165","655477983"
"bihar",2020,2,"31811301","655305105"
"uttarakhand",2023,3,"14489976","652020504"
"haryana",2022,1,"38600964","651685401"
"kerala",2021,4,"25421430","640628571"
"arunachal-pradesh",2024,3,"2061504","632570898"
"jammu-&-kashmir",2023,2,"5859396","627747423"
"meghalaya",2024,1,"1096356","621386301"
"west-bengal",2020,1,"35882466","621204654"
"chhattisgarh",2021,2,"14511165","617354151"
"odisha",2020,3,"23705265","616792998"
"meghalaya",2024,2,"1138026","613947096"
"punjab",2022,4,"25388259","599698329"
"west-bengal",2020,2,"39666066","595767996"
"tamil-nadu",2020,3,"40930353","584049852"
"madhya-pradesh",2019,3,"24541992","577060140"
"delhi",2020,3,"27132522","570075087"
"odisha",2019,4,"18346611","569717157"
"himachal-pradesh",2023,3,"8448138","567923331"
"haryana",2020,3,"25196448","565844307"
"jammu-&-kashmir",2023,4,"6324498","558908586"
"gujarat",2020,3,"37403541","553207416"
"jharkhand",2021,2,"17104509","552702321"
"bihar",2020,1,"28053702","551605515"
"uttarakhand",2023,1,"13393107","545216079"
"tamil-nadu",2020,1,"32617104","539726259"
"delhi",2020,1,"23478591","534791958"
"punjab",2023,1,"26512224","532255026"
"west-bengal",2019,3,"28929666","529677033"
"odisha",2020,1,"19958910","527755866"
"kerala",2024,1,"37659888","519830898"
"delhi",2019,4,"21869649","518048013"
"himachal-pradesh",2024,4,"9122457","505730589"
"gujarat",2020,1,"30779529","496815366"
"delhi",2021,2,"33548097","494993322"
"kerala",2024,2,"39025230","494152836"
"bihar",2019,4,"25026822","491994291"
"himachal-pradesh",2023,4,"8774856","491083419"
"delhi",2019,3,"20346858","490143081"
"uttarakhand",2022,4,"12816147","482056641"
"haryana",2020,1,"21056310","473380404"
"uttarakhand",2022,2,"11631168","469397055"
"gujarat",2020,2,"34177971","465793077"
"tamil-nadu",2019,4,"28861479","465035151"
"odisha",2020,2,"21774945","464048316"
"punjab",2022,3,"24292746","463877193"
"uttarakhand",2022,3,"12245928","458411550"
"gujarat",2019,4,"27971397","443921271"
"kerala",2023,3,"35007429","435133281"
"tamil-nadu",2020,2,"36452358","434722341"
"haryana",2020,2,"23048634","430950369"
"arunachal-pradesh",2024,1,"1447179","430791129"
"delhi",2020,2,"25173417","428556759"
"jharkhand",2021,1,"15939147","425193993"
"punjab",2022,2,"23106300","416896011"
"punjab",2021,4,"20640309","415282497"
"himachal-pradesh",2023,2,"8119410","410324325"
"haryana",2019,4,"19100037","410165664"
"assam",2021,3,"11755440","405865893"
"jammu-&-kashmir",2023,1,"5619117","404486133"
"tripura",2024,3,"2749008","403756857"
"arunachal-pradesh",2024,2,"1502007","396041511"
"assam",2021,4,"12628773","391801305"
"odisha",2019,3,"16161627","390544368"
"gujarat",2019,3,"25287897","388324452"
"kerala",2024,3,"39814839","383115564"
"bihar",2019,3,"22140795","379563894"
"jharkhand",2020,4,"14753814","378932505"
"manipur",2024,3,"1788711","376562982"
"tamil-nadu",2019,3,"25286505","374071026"
"chhattisgarh",2021,1,"13543653","373946112"
"kerala",2023,2,"33712023","363932382"
"haryana",2019,3,"17351256","354997761"
"punjab",2022,1,"21908178","352448421"
"kerala",2023,1,"32468169","349187640"
"kerala",2021,3,"23848275","348848151"
"uttarakhand",2022,1,"11024487","345673146"
"karnataka",2019,2,"35904261","339074433"
"arunachal-pradesh",2023,3,"1334367","336710040"
"himachal-pradesh",2023,1,"7784004","335106132"
"delhi",2024,3,"55333851","335042475"
"uttarakhand",2021,4,"10380045","332785062"
"maharashtra",2019,2,"56330925","329903115"
"chhattisgarh",2020,4,"12571803","329701401"
"mizoram",2024,3,"674856","329360481"
"jammu-&-kashmir",2022,3,"5157555","328038705"
"kerala",2021,1,"20810829","326756199"
"himachal-pradesh",2022,3,"7144728","326497614"
"punjab",2021,3,"19304586","322842465"
"arunachal-pradesh",2023,2,"1279230","318268560"
"kerala",2022,3,"29801931","313697499"
"himachal-pradesh",2022,2,"6793221","307466049"
"assam",2021,2,"10851168","306011670"
"delhi",2024,2,"59367288","299269377"
"jharkhand",2020,3,"13440081","297956352"
"kerala",2022,2,"28327599","296629176"
"tripura",2024,2,"2630172","292023051"
"kerala",2022,1,"26916897","282143679"
"kerala",2020,4,"19161507","274245819"
"uttarakhand",2021,3,"9700527","272659590"
"jammu-&-kashmir",2022,2,"4906710","269958930"
"arunachal-pradesh",2023,1,"1224819","266992374"
"kerala",2021,2,"22248249","263443245"
"chhattisgarh",2020,3,"11398158","260755818"
"punjab",2021,2,"17929644","257682267"
"tripura",2024,1,"2526405","244223508"
"andhra-pradesh",2019,2,"28167009","244125753"
"punjab",2021,1,"16706331","243156804"
"telangana",2019,2,"27138021","242526906"
"delhi",2024,1,"57201441","240908823"
"goa",2024,4,"3429996","235292235"
"uttar-pradesh",2019,2,"42949047","235182120"
"uttarakhand",2021,2,"9012120","235140108"
"himachal-pradesh",2022,1,"6430449","231834834"
"jharkhand",2020,2,"12183105","229017828"
"meghalaya",2023,3,"1008846","225167595"
"jharkhand",2020,1,"10954179","222044139"
"nagaland",2024,3,"1340907","221130360"
"himachal-pradesh",2022,4,"7449228","217067151"
"punjab",2020,4,"15473604","213573549"
"jharkhand",2019,4,"9844113","210545367"
"ladakh",2024,3,"582438","205727799"
"chhattisgarh",2020,2,"10204974","205480152"
"goa",2023,4,"2987769","194606709"
"kerala",2020,3,"16746900","192927066"
"chhattisgarh",2020,1,"9049461","192672303"
"rajasthan",2019,2,"26351805","188362008"
"jammu-&-kashmir",2022,1,"4647960","186347571"
"nagaland",2024,2,"1244628","181483068"
"jammu-&-kashmir",2022,4,"5380302","180617595"
"manipur",2024,1,"1768704","179276286"
"arunachal-pradesh",2022,3,"1120116","179167884"
"manipur",2024,2,"1843338","179120340"
"uttarakhand",2021,1,"8406366","177846780"
"punjab",2020,3,"14082699","176840196"
"delhi",2022,1,"40617591","172572459"
"chhattisgarh",2019,4,"8177700","171836931"
"assam",2021,1,"10075344","170257092"
"tripura",2024,4,"2846748","169977879"
"jharkhand",2019,3,"8746533","166513380"
"punjab",2020,1,"11218506","161561130"
"himachal-pradesh",2021,3,"5641878","158910864"
"uttarakhand",2020,4,"7788732","157694664"
"delhi",2022,2,"42780429","157659240"
"nagaland",2023,3,"1098609","155955168"
"delhi",2023,2,"51309267","154245117"
"punjab",2020,2,"12676443","153868728"
"delhi",2023,1,"49440033","153149367"
"madhya-pradesh",2019,2,"21903516","151926453"
"mizoram",2024,1,"495378","150883092"
